央卫,#genre#
CCTV1,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.10:5140$四川组播
CCTV2,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.11:5140$四川组播
CCTV3,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.12:5140$四川组播
CCTV4,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.13:5140$四川组播
CCTV5,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.14:5140$四川组播
CCTV6,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.15:5140$四川组播
CCTV7,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.16:5140$四川组播
CCTV8,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.17:5140$四川组播
CCTV9,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.18:5140$四川组播
CCTV10,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.19:5140$四川组播
CCTV11,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.187:5140$四川组播
CCTV12,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.20:5140$四川组播
CCTV13,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.190:5140$四川组播
CCTV14,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.21:5140$四川组播
CCTV15,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.188:5140$四川组播
CCTV17,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.152:5140$四川组播
CCTV5+,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.22:5140$四川组播
SCTV-2,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.2:5140$四川组播
SCTV-3,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.3:5140$四川组播
SCTV-4,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.4:5140$四川组播
SCTV-5,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.5:5140$四川组播
